,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Castro,-24.7911,-50.0119,84.99,31,0,8.5,BR,1600020000
1,Ondjiva,-17.0667,15.7333,83.48,14,3,6.38,AO,1600020000
2,Bosaso,11.2842,49.1816,90.07,60,3,3.4,SO,1600020000
3,Hermanus,-34.4187,19.2345,56.23,73,64,29.24,ZA,1600020000
4,Olinda,-8.0089,-34.8553,82.04,60,37,14.52,BR,1600020000
5,Northam,51.0333,-4.2167,63.25,85,0,4.21,GB,1600020000
6,Zilair,52.2332,57.4392,47.77,77,0,3.38,RU,1600020000
7,Punta Arenas,-53.15,-70.9167,44.26,67,47,13.6,CL,1600020000
8,Moerai,-22.4333,-151.3333,75.43,87,6,17.78,PF,1600020000
9,Ushuaia,-54.8,-68.3,43.41,71,78,2.44,AR,1600020000
10,Marzuq,14.4,46.4667,85.08,44,70,2.84,YE,1600020000
11,Iqaluit,63.7506,-68.5145,37.27,83,88,11.39,CA,1600020000
12,Camopi,3.1655,-52.3158,97.79,36,18,4.05,GF,1600020000
13,Kapaa,22.0752,-159.319,78.39,74,49,8.1,US,1600020000
14,Bluff,-46.6,168.3333,50.81,94,100,14.56,NZ,1600020000
15,Mataura,-46.1927,168.8643,45.9,95,97,5.28,NZ,1600020000
16,Clovis,36.8252,-119.7029,88.25,41,46,2.46,US,1600020000
17,Ampanihy,-24.7,44.75,72.59,65,0,17.81,MG,1600020000
18,Arraial do Cabo,-22.9661,-42.0278,78.42,70,12,28.83,BR,1600020000
19,Khatanga,71.9667,102.5,48.81,76,9,5.5,RU,1600020000
20,Hong Kong,22.2855,114.1577,81.77,89,91,18.16,HK,1600020000
21,Fuente de Oro,3.4594,-73.6128,87.55,66,45,4.18,CO,1600020000
22,Jizan,17.3333,42.6667,92.77,66,19,4.63,SA,1600020000
23,Saldanha,-33.0117,17.9442,59.09,60,90,14.38,ZA,1600020000
24,Rikitea,-23.1203,-134.9692,72.97,81,27,12.24,PF,1600020000
25,Hamilton,39.1834,-84.5333,82.6,67,42,7.02,US,1600020000
26,Nagybaracska,46.0425,18.9059,81.36,38,8,8.93,HU,1600020000
27,Hobart,-42.8794,147.3294,46.22,66,11,15.99,AU,1600020000
28,Xuanzhou,30.9525,118.7553,69.26,89,54,1.19,CN,1600020000
29,Guatire,10.4762,-66.5427,91.22,61,38,4.09,VE,1600020000
30,Vila,42.0304,-8.1588,80.67,37,72,3.78,PT,1600020000
31,Sorong,-0.8833,131.25,79.03,87,98,15.9,ID,1600020000
32,Kavieng,-2.5744,150.7967,82.78,77,16,13.35,PG,1600020000
33,Puerto Plata,19.7934,-70.6884,88.7,60,80,10.76,DO,1600020000
34,Westport,41.1415,-73.3579,73.04,66,92,10.02,US,1600020000
35,Richards Bay,-28.783,32.0377,75.24,64,0,17.43,ZA,1600020000
36,Atuona,-9.8,-139.0333,78.03,77,35,17.27,PF,1600020000
37,Kemijärvi,66.7131,27.4306,48.11,81,74,3.18,FI,1600020000
38,Hasaki,35.7333,140.8333,79.0,93,59,11.16,JP,1600020000
39,Río Gallegos,-51.6226,-69.2181,48.6,48,12,18.57,AR,1600020000
40,Epe,6.5841,3.9834,77.09,88,100,6.44,NG,1600020000
41,Saint-Philippe,-21.3585,55.7679,69.8,74,42,11.03,RE,1600020000
42,Bambous Virieux,-20.3428,57.7575,71.06,80,63,11.59,MU,1600020000
43,Guerrero Negro,27.9769,-114.0611,83.97,50,0,7.92,MX,1600020000
44,Naze,28.3667,129.4833,76.91,91,84,5.1,JP,1600020000
45,Bredasdorp,-34.5322,20.0403,57.51,56,35,20.38,ZA,1600020000
46,Dillon,34.4166,-79.3712,84.9,67,1,7.92,US,1600020000
47,Airai,-8.9266,125.4092,54.43,76,69,2.95,TL,1600020000
48,Port Elizabeth,-33.918,25.5701,60.06,64,12,15.39,ZA,1600020000
49,Marsaxlokk,35.8419,14.5431,78.22,77,56,13.33,MT,1600020000
50,Matara,5.9485,80.5353,78.06,87,99,8.95,LK,1600020000
51,Sungai Penuh,-2.0833,101.3833,65.57,95,98,1.57,ID,1600020000
52,Bethel,41.3712,-73.414,72.23,66,83,9.28,US,1600020000
53,Albany,42.6001,-73.9662,74.34,61,67,11.41,US,1600020000
54,Coyhaique,-45.5752,-72.0662,44.96,62,20,10.58,CL,1600020000
55,Chokurdakh,70.6333,147.9167,43.86,71,60,3.15,RU,1600020000
56,Butaritari,3.0707,172.7902,82.8,71,45,14.54,KI,1600020000
57,Alofi,-19.0595,-169.9187,71.15,78,11,21.03,NU,1600020000
58,Sudak,44.85,34.9667,73.36,62,100,11.39,UA,1600020000
59,Geraldton,-28.7667,114.6,65.79,57,0,15.21,AU,1600020000
60,Nome,64.5011,-165.4064,47.05,83,49,6.13,US,1600020000
61,Iquique,-20.2208,-70.1431,65.86,60,20,10.36,CL,1600020000
62,Vila do Maio,15.1333,-23.2167,80.89,81,64,13.89,CV,1600020000
63,Morondava,-20.2833,44.2833,77.49,79,37,9.26,MG,1600020000
64,Prince Rupert,54.3161,-130.3201,59.11,81,87,0.87,CA,1600020000
65,Bubaque,11.2833,-15.8333,81.32,81,0,15.64,GW,1600020000
66,Cape Town,-33.9258,18.4232,57.07,70,69,20.09,ZA,1600020000
67,San Patricio,19.2167,-104.7,87.78,68,38,4.0,MX,1600020000
68,Port Alfred,-33.5906,26.891,62.42,65,43,11.68,ZA,1600020000
69,Flinders,-34.5833,150.8552,57.09,73,0,5.3,AU,1600020000
70,Dovers,12.8833,-61.1833,86.4,73,24,10.92,VC,1600020000
71,Nikolskoye,59.7035,30.7861,53.71,69,20,10.47,RU,1600020000
72,Laramie,41.3114,-105.5911,71.06,28,1,4.9,US,1600020000
73,Raudeberg,61.9875,5.1352,53.64,83,93,14.63,NO,1600020000
74,Saint-Augustin,51.226,-58.6502,59.86,60,100,21.39,CA,1600020000
75,Hithadhoo,-0.6,73.0833,82.36,69,99,5.39,MV,1600020000
76,Busselton,-33.65,115.3333,54.9,86,98,10.51,AU,1600020000
77,San Borja,-14.8167,-66.85,103.06,23,14,6.64,BO,1600020000
78,Barrow,71.2906,-156.7887,39.2,88,94,18.23,US,1600020000
79,Tuktoyaktuk,69.4541,-133.0374,35.87,91,95,20.51,CA,1600020000
80,Cidreira,-30.1811,-50.2056,68.81,83,33,8.77,BR,1600020000
81,Pangoa,-12.1167,-73.0,89.62,43,3,5.53,PE,1600020000
82,Tiksi,71.6872,128.8694,40.68,85,25,1.63,RU,1600020000
83,Pedernales,18.0384,-71.744,85.64,67,37,4.81,DO,1600020000
84,Port Hardy,50.6996,-127.4199,57.0,86,95,2.19,CA,1600020000
85,Yellowknife,62.456,-114.3525,38.61,72,39,10.38,CA,1600020000
86,Pangnirtung,66.1451,-65.7125,41.83,63,8,3.71,CA,1600020000
87,Yar-Sale,66.8333,70.8333,46.71,92,85,8.66,RU,1600020000
88,Grindavik,63.8424,-22.4338,48.36,86,95,24.58,IS,1600020000
89,Ust-Nera,64.5667,143.2,43.43,61,96,2.08,RU,1600020000
90,Hunchun,42.8675,130.3581,52.29,88,81,5.75,CN,1600020000
91,Hilo,19.7297,-155.09,75.7,74,74,1.74,US,1600020000
92,Torbay,47.6666,-52.7314,59.61,56,87,4.81,CA,1600020000
93,Eureka,40.8021,-124.1637,63.99,81,46,7.27,US,1600020000
94,Okhotsk,59.3833,143.3,51.85,69,15,2.26,RU,1600020000
95,Tasiilaq,65.6145,-37.6368,36.55,72,76,2.13,GL,1600020000
96,Komarikhinskiy,58.0979,57.1163,52.57,79,97,8.37,RU,1600020000
97,New Norfolk,-42.7826,147.0587,43.79,75,21,11.45,AU,1600020000
98,Dikson,73.5069,80.5464,47.32,89,92,16.04,RU,1600020000
99,Ancud,-41.8697,-73.8203,50.52,70,9,6.71,CL,1600020000
100,Abilene,32.4487,-99.7331,81.19,71,87,11.25,US,1600020000
101,Rocha,-34.4833,-54.3333,60.85,82,94,7.74,UY,1600020000
102,Vysokogornyy,50.1167,139.15,48.74,87,92,0.51,RU,1600020000
103,Vaini,-21.2,-175.2,68.99,73,83,20.47,TO,1600020000
104,Jamestown,42.097,-79.2353,67.17,93,94,12.15,US,1600020000
105,Assiut,27.181,31.1837,92.32,22,0,9.48,EG,1600020000
106,Padang,-0.9492,100.3543,78.13,72,87,3.27,ID,1600020000
107,Port Lincoln,-34.7333,135.8667,53.08,90,1,6.71,AU,1600020000
108,Inongo,-1.95,18.2667,76.62,76,30,5.48,CD,1600020000
109,Rome,43.2128,-75.4557,63.93,79,93,7.63,US,1600020000
110,Dingle,10.9995,122.6711,77.38,90,100,4.88,PH,1600020000
111,Paamiut,61.994,-49.6678,37.2,68,0,5.93,GL,1600020000
112,Nanortalik,60.1432,-45.2371,39.96,68,1,8.79,GL,1600020000
113,Santo André,-23.6639,-46.5383,87.98,28,0,7.7,BR,1600020000
114,Shimoda,34.6667,138.95,78.55,90,11,7.85,JP,1600020000
115,Chara,56.9064,118.2631,52.3,65,89,1.3,RU,1600020000
116,Puerto Ayora,-0.7393,-90.3518,69.03,74,68,9.4,EC,1600020000
